filename,pdf_size_kb,status,md_size_kb,converted_at
Anexos_Tecnicos_Circular_N1835.pdf,1621.1,converted,458.3,2026-06-28T04:20:03
cir_1058_1992_refundido.pdf,50.4,converted,16.2,2026-06-28T04:20:04
cir_1061_1992_refundido.pdf,95.9,converted,47.3,2026-06-28T04:20:05
cir_1062_1992_refundido.pdf,11.6,converted,1.2,2026-06-28T04:20:05
cir_1064_1992_refundido.pdf,146.5,converted,52.0,2026-06-28T04:20:06
cir_1108_1993_refundido.pdf,22.8,converted,2.9,2026-06-28T04:20:06
cir_1116_1993_refundido.pdf,26.5,converted,7.1,2026-06-28T04:20:06
cir_1122_1993_refundido.pdf,706.7,converted,173.7,2026-06-28T04:20:10
cir_1126_1993_refundido.pdf,34.4,converted,8.3,2026-06-28T04:20:10
cir_1127_1993_refundido.pdf,64.5,converted,16.7,2026-06-28T04:20:10
cir_1147_1994_refundido.pdf,18.7,converted,3.8,2026-06-28T04:20:10
cir_1161_1994_refundido.pdf,14.3,converted,2.4,2026-06-28T04:20:10
cir_1167_1994_refundido.pdf,14.6,converted,2.1,2026-06-28T04:20:11
cir_1168_1994_refundido.pdf,26.8,converted,3.0,2026-06-28T04:20:11
cir_1174_1994_refundido.pdf,26.3,converted,7.2,2026-06-28T04:20:11
cir_1175_1994_refundido.pdf,14.4,converted,2.3,2026-06-28T04:20:11
cir_1176_1994_refundido.pdf,14.3,converted,1.9,2026-06-28T04:20:11
cir_1177_1994_refundido.pdf,17.8,converted,3.5,2026-06-28T04:20:11
cir_1184_1994_refundido.pdf,11.5,converted,1.5,2026-06-28T04:20:11
cir_1194_1995_refundido.pdf,152.9,converted,4.2,2026-06-28T04:20:11
cir_1202_1995_refundido.pdf,17.5,converted,3.2,2026-06-28T04:20:11
cir_1217_1995_refundido.pdf,92.9,converted,39.7,2026-06-28T04:20:12
cir_1218_1995_refundido.pdf,29.7,converted,11.8,2026-06-28T04:20:12
cir_1221_1995_refundido.pdf,28.1,converted,8.9,2026-06-28T04:20:12
cir_1222_1995_refundido.pdf,206.0,converted,88.7,2026-06-28T04:20:14
cir_1235_1995_refundido.pdf,12.5,converted,2.3,2026-06-28T04:20:14
cir_1237_1995_refundido.pdf,18.7,converted,4.4,2026-06-28T04:20:14
cir_1240_1995_refundido.pdf,15.3,converted,6.3,2026-06-28T04:20:14
cir_1246_1995_refundido.pdf,27.4,converted,5.4,2026-06-28T04:20:14
cir_1249_1995_refundido.pdf,14.8,converted,3.0,2026-06-28T04:20:14
cir_1254_1996_refundido.pdf,33.3,converted,5.1,2026-06-28T04:20:15
cir_1256_1996_refundido.pdf,78.2,converted,34.2,2026-06-28T04:20:15
cir_1258_1996_refundido.pdf,19.8,converted,5.3,2026-06-28T04:20:15
cir_1259_1996_refundido.pdf,14.6,converted,2.4,2026-06-28T04:20:15
cir_1264_1996_refundido.pdf,37.6,converted,3.4,2026-06-28T04:20:15
cir_1265_1996_refundido.pdf,155.3,converted,34.7,2026-06-28T04:20:16
cir_1266_1996_refundido.pdf,79.3,converted,38.4,2026-06-28T04:20:17
cir_1267_1996_refundido.pdf,12.1,converted,2.0,2026-06-28T04:20:17
cir_1268_1996_refundido.pdf,14.1,converted,1.6,2026-06-28T04:20:17
cir_1269_1996_refundido.pdf,52.5,converted,22.5,2026-06-28T04:20:17
cir_1276_1996_refundido.pdf,17.5,converted,3.8,2026-06-28T04:20:17
cir_1290_1996_refundido.pdf,18.0,converted,4.0,2026-06-28T04:20:17
cir_1291_1996_refundido.pdf,22.1,converted,6.1,2026-06-28T04:20:17
cir_1333_1997_refundido.pdf,102.4,converted,40.9,2026-06-28T04:20:18
cir_1351_1997_refundido.pdf,14.5,converted,2.4,2026-06-28T04:20:18
cir_1360_1998_refundido.pdf,140.8,converted,88.0,2026-06-28T04:20:19
cir_1370_1998_refundido.pdf,19.2,converted,4.2,2026-06-28T04:20:19
cir_1375_1998_refundido.pdf,146.3,converted,13.9,2026-06-28T04:20:20
cir_1377_1998_refundido.pdf,19.1,converted,2.5,2026-06-28T04:20:20
cir_1380_1998_refundido.pdf,36.3,converted,17.1,2026-06-28T04:20:20
cir_1382_1998_refundido.pdf,37.8,converted,11.0,2026-06-28T04:20:20
cir_1390_1998_refundido.pdf,7.3,converted,2.7,2026-06-28T04:20:20
cir_1400_1998_refundido.pdf,17.0,converted,3.4,2026-06-28T04:20:20
cir_1404_1998_refundido.pdf,110.0,converted,38.2,2026-06-28T04:20:21
cir_1429_1999_refundido.pdf,12.4,converted,1.9,2026-06-28T04:20:21
cir_1430_1999_refundido.pdf,20.7,converted,6.4,2026-06-28T04:20:21
cir_1435_1999_refundido.pdf,12.3,converted,1.5,2026-06-28T04:20:21
cir_1439_1999_refundido.pdf,476.1,converted,171.5,2026-06-28T04:20:25
cir_1441_1999_refundido.pdf,97.8,converted,38.1,2026-06-28T04:20:26
cir_1457_1999_refundido.pdf,43.6,converted,16.4,2026-06-28T04:20:26
cir_1459_1999_refundido.pdf,443.5,converted,42.1,2026-06-28T04:20:27
cir_1465_2000_refundido.pdf,56.5,converted,26.0,2026-06-28T04:20:28
cir_1466_2000_refundido.pdf,30.9,converted,5.8,2026-06-28T04:20:28
cir_1474_2000_refundido.pdf,64.0,converted,18.4,2026-06-28T04:20:28
cir_1476_2000_refundido.pdf,223.6,converted,20.7,2026-06-28T04:20:29
cir_1478_2000_refundido.pdf,26.9,converted,7.4,2026-06-28T04:20:29
cir_1481_2000_refundido.pdf,260.0,converted,23.4,2026-06-28T04:20:29
cir_1487_2000_refundido.pdf,31.7,converted,8.3,2026-06-28T04:20:30
cir_1488_2000_refundido.pdf,19.6,converted,2.9,2026-06-28T04:20:30
cir_1493_2000_refundido.pdf,28.7,converted,10.0,2026-06-28T04:20:30
cir_1499_2000_refundido.pdf,307.0,converted,68.1,2026-06-28T04:20:31
cir_1501_2000_refundido.pdf,635.9,converted,161.2,2026-06-28T04:20:35
cir_1504_2000_refundido.pdf,14.5,converted,2.0,2026-06-28T04:20:35
cir_1512_2001_refundido 2.pdf,200.5,skipped_duplicate,,
cir_1512_2001_refundido.pdf,200.5,converted,45.8,2026-06-28T04:18:51
cir_1514_2001_refundido.pdf,26.5,converted,6.7,2026-06-28T04:20:35
cir_1516_2001_refundido.pdf,12.3,converted,1.7,2026-06-28T04:20:35
cir_1517_2001_refundido.pdf,11.8,converted,1.7,2026-06-28T04:20:35
cir_1518_2001_refundido.pdf,21.7,converted,5.3,2026-06-28T04:20:35
cir_1520_2001_refundido.pdf,11.1,converted,1.1,2026-06-28T04:20:35
cir_1530_2001_refundido.pdf,15.9,converted,2.9,2026-06-28T04:20:35
cir_1533_2001_refundido.pdf,37.2,converted,7.5,2026-06-28T04:20:35
cir_1535_2001_refundido.pdf,130.3,converted,8.7,2026-06-28T04:20:36
cir_1540_2001_refundido.pdf,15.1,converted,1.5,2026-06-28T04:20:36
cir_1541_2001_refundido.pdf,14.4,converted,2.5,2026-06-28T04:20:36
cir_1562_2001_refundido.pdf,19.0,converted,4.9,2026-06-28T04:20:36
cir_1566_2001_refundido.pdf,11.4,converted,1.0,2026-06-28T04:20:36
cir_1567_2001_refundido.pdf,21.9,converted,4.2,2026-06-28T04:20:36
cir_1569_2001_refundido.pdf,11.0,converted,0.9,2026-06-28T04:20:36
cir_1570_2001_refundido.pdf,44.4,converted,11.8,2026-06-28T04:20:36
cir_1571_2001_refundido.pdf,17.5,converted,2.5,2026-06-28T04:20:36
cir_1575_2001_refundido.pdf,19.4,converted,5.0,2026-06-28T04:20:36
cir_1578_2002_refundido.pdf,32.6,converted,12.4,2026-06-28T04:20:36
cir_1579_2002_refundido.pdf,129.3,converted,32.8,2026-06-28T04:20:37
cir_1581_2002_refundido.pdf,334.5,converted,33.1,2026-06-28T04:20:38
cir_1583_2002_refundido.pdf,944.4,converted,25.9,2026-06-28T04:20:38
cir_1584_2002_refundido.pdf,680.6,converted,21.0,2026-06-28T04:20:39
cir_1587_2002_refundido.pdf,27.9,converted,7.6,2026-06-28T04:20:39
cir_1602_2002_refundido.pdf,297.1,converted,72.8,2026-06-28T04:20:40
cir_1603_2002_refundido.pdf,26.5,converted,4.7,2026-06-28T04:20:40
cir_1615_2002_refundido.pdf,15.6,converted,2.3,2026-06-28T04:20:40
cir_1621_2002_refundido.pdf,310.7,converted,68.4,2026-06-28T04:20:41
cir_1624_2002_refundido.pdf,14.5,converted,1.2,2026-06-28T04:20:42
cir_1628_2002_refundido.pdf,86.4,converted,13.1,2026-06-28T04:20:42
cir_1633_2002_refundido.pdf,237.1,converted,75.4,2026-06-28T04:20:43
cir_1638_2002_refundido.pdf,10.9,converted,1.1,2026-06-28T04:20:43
cir_1644_2003_refundido.pdf,12.1,converted,2.2,2026-06-28T04:20:43
cir_1647_2003_refundido.pdf,33.4,converted,5.1,2026-06-28T04:20:43
cir_1652_2003_refundido.pdf,218.0,converted,9.0,2026-06-28T04:20:44
cir_1664_2003_refundido.pdf,18.3,converted,2.5,2026-06-28T04:20:44
cir_1667_2003_refundido.pdf,19.0,converted,3.8,2026-06-28T04:20:44
cir_1677_2003_refundido.pdf,18.3,converted,2.0,2026-06-28T04:20:44
cir_1679_2003_refundido.pdf,68.7,converted,32.5,2026-06-28T04:20:44
cir_1680_2003_refundido.pdf,22.7,converted,6.3,2026-06-28T04:20:44
cir_1681_2003_refundido.pdf,39.1,converted,10.8,2026-06-28T04:20:45
cir_1684_2003_refundido.pdf,28.6,converted,8.2,2026-06-28T04:20:45
cir_1688_2003_refundido.pdf,22.2,converted,5.0,2026-06-28T04:20:45
cir_1694_2003_refundido.pdf,38.2,converted,11.0,2026-06-28T04:20:45
cir_1696_2003_refundido.pdf,46.8,converted,6.7,2026-06-28T04:20:45
cir_1697_2003_refundido.pdf,52.1,converted,24.0,2026-06-28T04:20:46
cir_1698_2003_refundido.pdf,21.0,converted,4.2,2026-06-28T04:20:46
cir_1700_2003_refundido.pdf,7.1,converted,2.2,2026-06-28T04:20:46
cir_1706_2004_refundido.pdf,11.3,converted,1.2,2026-06-28T04:20:46
cir_1711_2004_refundido.pdf,17.1,converted,2.8,2026-06-28T04:20:46
cir_1713_2004_refundido.pdf,515.0,converted,76.6,2026-06-28T04:20:48
cir_1716_2004_refundido.pdf,65.4,converted,11.2,2026-06-28T04:20:48
cir_1718_2004_refundido.pdf,16.9,converted,3.7,2026-06-28T04:20:48
cir_1720_2004_refundido.pdf,42.9,converted,10.5,2026-06-28T04:20:48
cir_1737_2005_refundido.pdf,40.0,converted,12.0,2026-06-28T04:20:48
cir_1738_2005_refundido.pdf,26.3,converted,3.5,2026-06-28T04:20:49
cir_1740_2005_refundido.pdf,28.3,converted,11.9,2026-06-28T04:20:49
cir_1741_2005_refundido.pdf,17.3,converted,3.2,2026-06-28T04:20:49
cir_1751_2005_refundido.pdf,14.8,converted,0.8,2026-06-28T04:20:49
cir_1753_2005_refundido.pdf,43.5,converted,14.7,2026-06-28T04:20:49
cir_1754_2005_refundido.pdf,16.8,converted,3.7,2026-06-28T04:20:49
cir_1758_2005_refundido.pdf,21.2,converted,4.4,2026-06-28T04:20:49
cir_1759_2005_refundido.pdf,27.8,converted,9.2,2026-06-28T04:20:49
cir_1760_2005_refundido.pdf,18.5,converted,3.1,2026-06-28T04:20:49
cir_1762_2005_refundido.pdf,16.0,converted,2.4,2026-06-28T04:20:49
cir_1763_2005_refundido.pdf,14.9,converted,1.8,2026-06-28T04:20:49
cir_1764_2005_refundido.pdf,44.2,converted,13.6,2026-06-28T04:20:50
cir_1765_2005_refundido.pdf,18.1,converted,4.2,2026-06-28T04:20:50
cir_1768_2005_refundido.pdf,11.1,converted,1.3,2026-06-28T04:20:50
cir_1770_2005_refundido.pdf,681.3,converted,96.9,2026-06-28T04:20:52
cir_1777_2005_refundido.pdf,284.0,converted,5.9,2026-06-28T04:20:52
cir_1782_2005_refundido.pdf,98.0,converted,22.9,2026-06-28T04:20:52
cir_1790_2006_refundido.pdf,257.1,converted,29.2,2026-06-28T04:20:53
cir_1791_2006_refundido.pdf,24.8,converted,8.6,2026-06-28T04:20:53
cir_1795_2006_refundido.pdf,764.1,converted,140.3,2026-06-28T04:20:56
cir_1797_2006_refundido.pdf,43.5,converted,17.9,2026-06-28T04:20:56
cir_1799_2006_refundido.pdf,2.8,converted,0.2,2026-06-28T04:20:56
cir_1804_2006_refundido.pdf,44.2,converted,10.0,2026-06-28T04:20:57
cir_1806_2006_refundido.pdf,15.7,converted,4.5,2026-06-28T04:20:57
cir_1809_2006_refundido.pdf,96.7,converted,16.7,2026-06-28T04:20:57
cir_1810_2006_refundido.pdf,23.9,converted,7.9,2026-06-28T04:20:57
cir_1813_2006_refundido.pdf,24.0,converted,6.4,2026-06-28T04:20:57
cir_1815_2006_refundido.pdf,159.9,converted,2.7,2026-06-28T04:20:57
cir_1816_2006_refundido.pdf,63.1,converted,23.4,2026-06-28T04:20:58
cir_1818_2006_refundido.pdf,18.5,converted,3.9,2026-06-28T04:20:58
cir_1819_2006_refundido.pdf,22.2,converted,5.5,2026-06-28T04:20:58
cir_1823_2006_refundido.pdf,480.0,converted,85.7,2026-06-28T04:20:59
cir_1824_2006_refundido.pdf,80.2,converted,13.9,2026-06-28T04:21:00
cir_1825_2006_refundido.pdf,12.6,converted,1.6,2026-06-28T04:21:00
cir_1826_2007_refundido.pdf,29.9,converted,4.3,2026-06-28T04:21:00
cir_1828_2007_refundido.pdf,943.6,converted,197.9,2026-06-28T04:21:05
cir_1829_2007_refundido.pdf,36.3,converted,5.5,2026-06-28T04:21:05
cir_1835_2007_refundido 2.pdf,125.5,converted,4.7,2026-06-28T04:21:05
cir_1835_2007_refundido.pdf,125.5,converted,4.7,2026-06-28T04:18:51
cir_1841_2007_refundido.pdf,30.0,converted,6.5,2026-06-28T04:21:05
cir_1844_2007_refundido.pdf,37.8,converted,3.8,2026-06-28T04:21:05
cir_1846_2007_refundido.pdf,30.6,converted,6.6,2026-06-28T04:21:06
cir_1848_2007_refundido.pdf,23.5,converted,5.2,2026-06-28T04:21:06
cir_1849_2007_refundido.pdf,11.0,converted,0.9,2026-06-28T04:21:06
cir_1850_2007_refundido.pdf,35.4,converted,11.0,2026-06-28T04:21:06
cir_1857_2007_refundido.pdf,27.3,converted,8.2,2026-06-28T04:21:06
cir_1858_2008_refundido.pdf,40.7,converted,15.9,2026-06-28T04:21:06
cir_1860_2008_refundido.pdf,41.8,converted,16.2,2026-06-28T04:21:07
cir_1862_2008_refundido.pdf,45.4,converted,14.9,2026-06-28T04:21:07
cir_1869_2008_refundido.pdf,88.0,converted,40.7,2026-06-28T04:21:07
cir_1879_2008_refundido.pdf,19.4,converted,4.9,2026-06-28T04:21:07
cir_1890_2008_refundido.pdf,34.0,converted,14.9,2026-06-28T04:21:08
cir_1893_2008_refundido.pdf,773.1,converted,65.3,2026-06-28T04:21:09
cir_1894_2008_refundido.pdf,78.2,converted,33.7,2026-06-28T04:21:10
cir_1896_2008_refundido.pdf,115.9,converted,9.7,2026-06-28T04:21:10
cir_1898_2008_refundido.pdf,51.9,converted,30.4,2026-06-28T04:21:11
cir_1901_2008_refundido.pdf,18.9,converted,2.6,2026-06-28T04:21:11
cir_1905_2008_refundido.pdf,17.2,converted,2.6,2026-06-28T04:21:11
cir_1913_2009_refundido.pdf,28.8,converted,7.9,2026-06-28T04:21:11
cir_1920_2009_refundido.pdf,42.3,converted,10.8,2026-06-28T04:21:11
cir_1921_2009_refundido.pdf,14.0,converted,1.3,2026-06-28T04:21:11
cir_1924_2009_refundido.pdf,97.0,converted,16.4,2026-06-28T04:21:11
cir_1926_2009_refundido.pdf,11.1,converted,1.1,2026-06-28T04:21:11
cir_1928_2009_refundido.pdf,254.9,converted,29.8,2026-06-28T04:21:12
cir_1930_2009_refundido.pdf,16.7,converted,3.1,2026-06-28T04:21:12
cir_1931_2009_refundido.pdf,21.4,converted,4.3,2026-06-28T04:21:12
cir_1935_2009_refundido.pdf,15.7,converted,4.6,2026-06-28T04:21:12
cir_1939_2009_refundido.pdf,37.1,converted,16.4,2026-06-28T04:21:12
cir_1945_2009_refundido.pdf,20.0,converted,6.2,2026-06-28T04:21:13
cir_1947_2009_refundido.pdf,396.9,converted,76.5,2026-06-28T04:21:14
cir_1949_2009_refundido.pdf,17.3,converted,3.6,2026-06-28T04:21:14
cir_1951_2009_refundido.pdf,92.2,converted,7.3,2026-06-28T04:21:14
cir_1954_2009_refundido.pdf,42.3,converted,15.7,2026-06-28T04:21:15
cir_1956_2009_refundido.pdf,32.5,converted,12.6,2026-06-28T04:21:15
cir_1959_2010_refundido.pdf,13.8,converted,0.8,2026-06-28T04:21:15
cir_1962_2010_refundido.pdf,63.9,converted,13.3,2026-06-28T04:21:15
cir_1965_2010_refundido.pdf,10.1,converted,2.3,2026-06-28T04:21:15
cir_1968_2010_refundido.pdf,12.7,converted,1.9,2026-06-28T04:21:15
cir_1970_2010_refundido.pdf,210.0,converted,49.5,2026-06-28T04:21:16
cir_1981_2010_refundido.pdf,137.4,converted,14.2,2026-06-28T04:21:16
cir_1997_2010_refundido.pdf,316.6,converted,27.1,2026-06-28T04:21:17
cir_1998_2010_refundido.pdf,1022.6,converted,157.3,2026-06-28T04:21:22
cir_1999_2010_refundido.pdf,334.6,converted,77.2,2026-06-28T04:21:24
cir_2007_2011_refundido.pdf,150.8,converted,13.9,2026-06-28T04:21:24
cir_2010_2011_refundido.pdf,7.8,converted,2.5,2026-06-28T04:21:25
cir_2020_2011_refundido.pdf,78.7,converted,7.4,2026-06-28T04:21:25
cir_2022_2011_refundido.pdf,2861.6,converted,542.9,2026-06-28T04:21:41
cir_2025_2011_refundido 2.pdf,19.6,converted,8.2,2026-06-28T04:21:41
cir_2025_2011_refundido.pdf,19.6,converted,8.2,2026-06-28T04:21:42
cir_2027_2011_refundido.pdf,200.7,converted,70.7,2026-06-28T04:21:43
cir_2043_2011_refundido.pdf,59.4,converted,6.5,2026-06-28T04:21:44
cir_2045_2011_refundido.pdf,78.6,converted,15.8,2026-06-28T04:21:44
cir_2050_2011_refundido.pdf,1189.2,converted,643.2,2026-06-28T04:21:57
cir_2062_2012_refundido.pdf,244.8,converted,19.5,2026-06-28T04:21:57
cir_2064_2012_refundido.pdf,5.2,converted,0.9,2026-06-28T04:21:58
cir_2084_2012_refundido.pdf,84.2,converted,15.5,2026-06-28T04:21:58
cir_2085_2012_refundido.pdf,164.9,converted,28.5,2026-06-28T04:21:59
cir_2087_2012_refundido.pdf,137.2,converted,4.2,2026-06-28T04:21:59
cir_2088_2012_refundido.pdf,65.3,converted,11.5,2026-06-28T04:21:59
cir_2095_2013_refundido.pdf,192.4,converted,64.5,2026-06-28T04:22:02
cir_2103_2013_refundido.pdf,12.2,converted,4.8,2026-06-28T04:22:02
